,power_norm
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,55.0
4.1,66.0
4.2,77.0
4.3,88.0
4.4,99.0
4.5,110.0
4.6,125.2
4.7,140.4
4.8,155.6
4.9,170.8
5.0,186.0
5.1,201.6
5.2,217.2
5.3,232.8
5.4,248.4
5.5,264.0
5.6,279.6
5.7,295.2
5.8,310.8
5.9,326.4
6.0,342.0
6.1,358.4
6.2,374.8
6.3,391.2
6.4,407.6
6.5,424.0
6.6,440.4
6.7,456.8
6.8,473.2
6.9,489.6
7.0,506.0
7.1,528.4
7.2,550.8
7.3,573.2
7.4,595.6
7.5,618.0
7.6,640.4
7.7,662.8
7.8,685.2
7.9,707.6
8.0,730.0
8.1,757.0
8.2,784.0
8.3,811.0
8.4,838.0
8.5,865.0
8.6,891.8
8.7,918.6
8.8,945.4
8.9,972.2
9.0,999.0
9.1,1038.2
9.2,1077.4
9.3,1116.6
9.4,1155.8
9.5,1195.0
9.6,1234.2
9.7,1273.4
9.8,1312.6
9.9,1351.8
10.0,1391.0
10.1,1424.4
10.2,1457.8
10.3,1491.2
10.4,1524.6
10.5,1558.0
10.6,1591.2
10.7,1624.4
10.8,1657.6
10.9,1690.8
11.0,1724.0
11.1,1745.0
11.2,1766.0
11.3,1787.0
11.4,1808.0
11.5,1829.0
11.6,1845.0
11.7,1861.0
11.8,1877.0
11.9,1893.0
12.0,1909.0
12.1,1919.2
12.2,1929.4
12.3,1939.6
12.4,1949.8
12.5,1960.0
12.6,1968.4
12.7,1976.8
12.8,1985.2
12.9,1993.6
13.0,2002.0
13.1,2006.6
13.2,2011.2
13.3,2015.8
13.4,2020.4
13.5,2025.0
13.6,2028.8
13.7,2032.6
13.8,2036.4
13.9,2040.2
14.0,2044.0
14.1,2045.2
14.2,2046.4
14.3,2047.6
14.4,2048.8
14.5,2050.0
14.6,2050.0
14.7,2050.0
14.8,2050.0
14.9,2050.0
15.0,2050.0
15.1,2050.0
15.2,2050.0
15.3,2050.0
15.4,2050.0
15.5,2050.0
15.6,2050.0
15.7,2050.0
15.8,2050.0
15.9,2050.0
16.0,2050.0
16.1,2050.0
16.2,2050.0
16.3,2050.0
16.4,2050.0
16.5,2050.0
16.6,2050.0
16.7,2050.0
16.8,2050.0
16.9,2050.0
17.0,2050.0
17.1,2050.0
17.2,2050.0
17.3,2050.0
17.4,2050.0
17.5,2050.0
17.6,2050.0
17.7,2050.0
17.8,2050.0
17.9,2050.0
18.0,2050.0
18.1,2050.0
18.2,2050.0
18.3,2050.0
18.4,2050.0
18.5,2050.0
18.6,2050.0
18.7,2050.0
18.8,2050.0
18.9,2050.0
19.0,2050.0
19.1,2050.0
19.2,2050.0
19.3,2050.0
19.4,2050.0
19.5,2050.0
19.6,2050.0
19.7,2050.0
19.8,2050.0
19.9,2050.0
20.0,2050.0
20.1,2050.0
20.2,2050.0
20.3,2050.0
20.4,2050.0
20.5,2050.0
20.6,2050.0
20.7,2050.0
20.8,2050.0
20.9,2050.0
21.0,2050.0
21.1,2050.0
21.2,2050.0
21.3,2050.0
21.4,2050.0
21.5,2050.0
21.6,2050.0
21.7,2050.0
21.8,2050.0
21.9,2050.0
22.0,2050.0
22.1,2050.0
22.2,2050.0
22.3,2050.0
22.4,2050.0
22.5,2050.0
22.6,2050.0
22.7,2050.0
22.8,2050.0
22.9,2050.0
23.0,2050.0
23.1,2050.0
23.2,2050.0
23.3,2050.0
23.4,2050.0
23.5,2050.0
23.6,2050.0
23.7,2050.0
23.8,2050.0
23.9,2050.0
24.0,2050.0
24.1,2050.0
24.2,2050.0
24.3,2050.0
24.4,2050.0
24.5,2050.0
24.6,2050.0
24.7,2050.0
24.8,2050.0
24.9,2050.0
25.0,2050.0
25.1,0.0
25.2,0.0
25.3,0.0
25.4,0.0
25.5,0.0
25.6,0.0
25.7,0.0
25.8,0.0
25.9,0.0
26.0,0.0
26.1,0.0
26.2,0.0
26.3,0.0
26.4,0.0
26.5,0.0
26.6,0.0
26.7,0.0
26.8,0.0
26.9,0.0
27.0,0.0
27.1,0.0
27.2,0.0
27.3,0.0
27.4,0.0
27.5,0.0
27.6,0.0
27.7,0.0
27.8,0.0
27.9,0.0
28.0,0.0
28.1,0.0
28.2,0.0
28.3,0.0
28.4,0.0
28.5,0.0
28.6,0.0
28.7,0.0
28.8,0.0
28.9,0.0
29.0,0.0
29.1,0.0
29.2,0.0
29.3,0.0
29.4,0.0
29.5,0.0
29.6,0.0
29.7,0.0
29.8,0.0
29.9,0.0
