Wind speed (m/s),Power (kW)
4.0,55.0
4.5,110.0
5.0,186.0
5.5,264.0
6.0,342.0
6.5,424.0
7.0,506.0
7.5,618.0
8.0,730.0
8.5,865.0
9.0,999.0
9.5,1195.0
10.0,1391.0
10.5,1558.0
11.0,1724.0
11.5,1829.0
12.0,1909.0
12.5,1960.0
13.0,2002.0
13.5,2025.0
14.0,2044.0
14.5,2050.0
15.0,2050.0
15.5,2050.0
16.0,2050.0
16.5,2050.0
17.0,2050.0
17.5,2050.0
18.0,2050.0
18.5,2050.0
19.0,2050.0
19.5,2050.0
20.0,2050.0
20.5,2050.0
21.0,2050.0
21.5,2050.0
22.0,2050.0
22.5,2050.0
23.0,2050.0
23.5,2050.0
24.0,2050.0
24.5,2050.0
25.0,2050.0
